month,crop,price,state,year,month_num,prev_price,price_diff,demand
2010-02-01,Barley (Jau),899.37,India,2010,2,902.88,-3.509999999999991,Medium
2010-03-01,Barley (Jau),948.36,India,2010,3,899.37,48.99000000000001,Medium
2010-04-01,Barley (Jau),865.53,India,2010,4,948.36,-82.83000000000004,Medium
2010-05-01,Barley (Jau),906.9,India,2010,5,865.53,41.370000000000005,Medium
2010-06-01,Barley (Jau),949.5,India,2010,6,906.9,42.60000000000002,Medium
2010-07-01,Barley (Jau),982.74,India,2010,7,949.5,33.24000000000001,Medium
2010-08-01,Barley (Jau),1011.75,India,2010,8,982.74,29.00999999999999,Medium
2010-09-01,Barley (Jau),1033.73,India,2010,9,1011.75,21.980000000000018,Medium
2010-10-01,Barley (Jau),1094.49,India,2010,10,1033.73,60.75999999999999,Medium
2010-11-01,Barley (Jau),1153.32,India,2010,11,1094.49,58.82999999999993,Medium
2010-12-01,Barley (Jau),1199.93,India,2010,12,1153.32,46.61000000000013,Medium
2011-01-01,Barley (Jau),1240.8,India,2011,1,1199.93,40.86999999999989,Medium
2011-02-01,Barley (Jau),1279.47,India,2011,2,1240.8,38.67000000000007,Medium
2011-03-01,Barley (Jau),1100.05,India,2011,3,1279.47,-179.42000000000007,Low
2011-04-01,Barley (Jau),1014.99,India,2011,4,1100.05,-85.05999999999995,Medium
2011-05-01,Barley (Jau),1176.5,India,2011,5,1014.99,161.51,High
2011-06-01,Barley (Jau),1139.56,India,2011,6,1176.5,-36.940000000000055,Medium
2011-07-01,Barley (Jau),1096.42,India,2011,7,1139.56,-43.13999999999987,Medium
2011-08-01,Barley (Jau),1069.94,India,2011,8,1096.42,-26.480000000000018,Medium
2011-09-01,Barley (Jau),1028.3,India,2011,9,1069.94,-41.6400000000001,Medium
2011-10-01,Barley (Jau),1017.35,India,2011,10,1028.3,-10.949999999999932,Medium
2011-11-01,Barley (Jau),1031.93,India,2011,11,1017.35,14.580000000000041,Medium
2011-12-01,Barley (Jau),1035.97,India,2011,12,1031.93,4.039999999999964,Medium
2012-01-01,Barley (Jau),1089.68,India,2012,1,1035.97,53.710000000000036,Medium
