N,P,K,temperature,humidity,ph,rainfall,label
85.0,36.7,41.8,21.63,75.92,6.77,258.71,Rice
78.6,44.6,42.8,22.3,79.9,7.16,208.34,Rice
86.5,45.3,45.4,25.57,82.32,5.84,262.09,Rice
95.2,41.6,45.3,25.23,82.49,6.63,276.67,Rice
77.7,46.7,33.1,23.65,80.5,6.14,248.4,Rice
77.7,51.2,35.3,23.99,84.79,6.21,292.3,Rice
95.8,63.1,42.6,26.89,78.03,6.16,212.79,Rice
87.7,49.4,42.6,22.22,81.73,6.05,198.66,Rice
75.3,50.1,42.6,25.07,82.78,6.42,182.64,Rice
85.4,47.4,59.3,23.19,84.36,6.07,280.88,Rice
75.4,32.6,42.9,23.16,85.15,6.51,255.63,Rice
75.3,47.8,45.7,26.45,77.8,6.38,234.33,Rice
82.4,48.5,44.8,25.76,76.16,6.3,244.4,Rice
60.9,67.7,43.3,25.73,87.41,6.04,202.24,Rice
62.8,46.5,38.4,26.96,83.63,6.17,309.37,Rice
74.4,50.4,43.8,23.75,79.31,6.7,239.88,Rice
69.9,47.7,36.1,25.4,88.5,6.6,239.28,Rice
83.1,38.7,38.8,22.92,82.76,6.01,257.77,Rice
70.9,57.1,37.6,24.51,87.02,6.44,250.43,Rice
65.9,54.0,40.4,23.37,82.57,6.7,242.72,Rice
94.7,54.3,51.6,23.94,90.54,5.73,212.29,Rice
77.7,40.7,30.7,25.19,89.32,6.62,250.14,Rice
80.7,59.2,43.4,21.65,81.3,6.13,292.46,Rice
65.8,36.8,31.9,28.93,86.19,6.63,276.36,Rice
74.6,52.7,37.6,21.18,84.88,6.09,283.8,Rice
81.1,65.5,45.4,20.66,87.77,5.68,220.66,Rice
68.5,40.1,40.3,26.6,78.44,5.75,206.31,Rice
83.8,43.5,34.6,25.68,85.04,6.42,232.23,Rice
74.0,48.8,36.4,25.26,86.53,6.5,237.67,Rice
77.1,44.0,43.4,25.27,75.27,6.04,268.83,Rice
74.0,35.6,36.3,23.67,77.57,6.66,185.23,Rice
98.5,48.5,41.1,21.46,74.14,5.74,281.89,Rice
79.9,39.5,40.2,23.89,81.22,6.37,231.26,Rice
69.4,51.8,36.7,22.01,85.17,5.92,223.19,Rice
88.2,40.6,50.7,26.14,88.31,6.14,205.64,Rice
67.8,60.4,43.2,23.33,82.6,6.42,186.35,Rice
82.1,41.7,29.9,21.64,88.81,6.06,260.7,Rice
60.4,45.4,40.9,22.9,76.78,6.25,238.2,Rice
66.7,54.5,36.7,24.73,75.49,6.8,197.3,Rice
82.0,38.2,44.3,22.29,82.08,6.17,197.15,Rice
87.4,49.8,36.0,21.64,83.84,6.73,225.93,Rice
81.7,58.5,39.4,24.31,82.17,5.95,286.07,Rice
78.8,35.1,42.5,24.31,74.03,6.61,228.21,Rice
77.0,49.5,44.3,22.43,81.94,6.98,190.91,Rice
65.2,50.1,34.0,22.52,77.08,5.41,228.63,Rice
72.8,54.3,38.3,24.28,84.98,6.08,227.82,Rice
75.4,38.1,37.6,20.08,83.77,6.63,155.09,Rice
90.6,37.4,36.7,20.18,78.54,6.32,234.37,Rice
83.4,52.2,48.8,21.9,80.24,6.55,229.07,Rice
62.4,50.4,42.0,23.17,78.06,6.16,256.89,Rice
83.2,50.0,33.7,24.48,82.05,6.43,291.47,Rice
76.1,50.8,44.6,27.39,86.12,6.34,269.8,Rice
73.2,42.6,50.6,25.84,78.36,6.87,227.93,Rice
86.1,49.9,45.2,23.3,84.32,6.5,202.8,Rice
90.3,50.3,32.4,23.65,80.18,6.54,313.2,Rice
89.3,42.3,37.6,21.19,79.13,6.24,237.78,Rice
71.6,62.9,46.3,23.65,81.87,6.2,236.42,Rice
76.9,51.8,36.5,22.98,78.16,6.23,235.28,Rice
83.3,38.5,42.2,24.51,80.09,6.56,241.94,Rice
89.8,53.3,43.9,21.63,77.51,6.23,231.67,Rice
75.2,40.2,35.4,25.0,90.16,6.52,218.79,Rice
78.1,54.3,39.7,27.53,82.44,7.23,219.59,Rice
68.9,57.3,23.8,23.43,79.5,6.75,235.02,Rice
68.0,41.4,34.9,24.7,83.16,6.27,219.7,Rice
88.1,55.7,38.7,25.43,81.85,6.88,214.61,Rice
93.6,51.3,33.8,22.7,81.42,6.24,239.19,Rice
79.3,54.6,48.2,24.26,84.76,5.58,228.35,Rice
90.0,63.2,32.8,23.73,85.33,6.0,281.12,Rice
83.6,46.0,37.8,23.94,80.18,5.65,156.47,Rice
73.5,42.0,40.7,21.77,80.0,6.26,268.75,Rice
83.6,40.9,47.2,23.76,81.2,6.41,273.38,Rice
95.4,41.5,32.8,24.94,73.09,7.07,173.8,Rice
